date,deaths
2020-01-01,1
2020-02-01,108
2020-03-01,99768
2020-04-01,359740
2020-05-01,465712
2020-06-01,623157
2020-07-01,512720
2020-08-01,661667
2020-09-01,561287
2020-10-01,648666
2020-11-01,1286031
2020-12-01,1507076
2021-01-01,1889985
2021-02-01,2203482
2021-03-01,3085632
2021-04-01,2758698
2021-05-01,3660234
2021-06-01,2977715
2021-07-01,2991965
2021-08-01,3785118
2021-09-01,3090340
2021-10-01,3178182
2021-11-01,4210834
2021-12-01,3603180
2022-01-01,4767764
2022-02-01,4054473
2022-03-01,4197074
2022-04-01,4295494
2022-05-01,5454891
2022-06-01,4406339
2022-07-01,4466058
2022-08-01,5678383
2022-09-01,4585346
2022-10-01,5804524
2022-11-01,4700003
2022-12-01,4760024
2023-01-01,6027932
2023-02-01,4855009
2023-03-01,4881488
2023-04-01,4904307
2023-05-01,6155106
2023-06-01,4934556
2023-07-01,6172614
2023-08-01,4941321
2023-09-01,4946437
2023-10-01,4952701
