date,deaths
2020-01-06,
2020-01-13,
2020-01-20,
2020-01-27,
2020-02-03,
2020-02-10,
2020-02-17,
2020-02-24,
2020-03-02,
2020-03-09,
2020-03-16,
2020-03-23,
2020-03-30,
2020-04-06,
2020-04-13,
2020-04-20,
2020-04-27,
2020-05-04,
2020-05-11,
2020-05-18,
2020-05-25,
2020-06-01,1775.0
2020-06-08,1350.0
2020-06-15,1184.0
2020-06-22,900.0
2020-06-29,756.0
2020-07-06,664.0
2020-07-13,537.0
2020-07-20,-67.0
2020-07-27,-2312.0
2020-08-03,-8269.0
2020-08-10,-16640.0
2020-08-17,-19490.0
2020-08-24,-18082.0
2020-08-31,-14167.0
2020-09-07,-9796.0
2020-09-14,-5676.0
2020-09-21,-3151.0
2020-09-28,-916.0
2020-10-05,1259.0
2020-10-12,3787.0
2020-10-19,8092.0
2020-10-26,14572.0
2020-11-02,21098.0
2020-11-09,25093.0
2020-11-16,27539.0
2020-11-23,27253.0
2020-11-30,26569.0
2020-12-07,26538.0
2020-12-14,25788.0
2020-12-21,22340.0
2020-12-28,22250.0
2021-01-04,23000.0
2021-01-11,23118.0
2021-01-18,22835.0
2021-01-25,20729.0
2021-02-01,17734.0
2021-02-08,14154.0
2021-02-15,11430.0
2021-02-22,9624.0
2021-03-01,7584.0
2021-03-08,4581.0
2021-03-15,-522.0
2021-03-22,-5879.0
2021-03-29,-8631.0
2021-04-05,-11097.0
2021-04-12,-11837.0
2021-04-19,-12390.0
2021-04-26,-14787.0
2021-05-03,-16659.0
2021-05-10,-15547.0
2021-05-17,-17568.0
2021-05-24,-20056.0
2021-05-31,-21423.0
2021-06-07,-22219.0
2021-06-14,-20935.0
2021-06-21,-18944.0
2021-06-28,-16045.0
2021-07-05,-13868.0
2021-07-12,-13087.0
2021-07-19,-12624.0
2021-07-26,-13044.0
2021-08-02,-13566.0
2021-08-09,-14132.0
2021-08-16,-14488.0
2021-08-23,-14027.0
2021-08-30,-12700.0
2021-09-06,-11256.0
2021-09-13,-8662.0
2021-09-20,-6099.0
2021-09-27,-3317.0
2021-10-04,-476.0
2021-10-11,2036.0
2021-10-18,4849.0
2021-10-25,6910.0
2021-11-01,8675.0
2021-11-08,10551.0
2021-11-15,12082.0
2021-11-22,13217.0
2021-11-29,13312.0
2021-12-06,12734.0
2021-12-13,11360.0
2021-12-20,9337.0
2021-12-27,8678.0
2022-01-03,7858.0
2022-01-10,8756.0
2022-01-17,8724.0
2022-01-24,9617.0
2022-01-31,11070.0
2022-02-07,10791.0
2022-02-14,9319.0
2022-02-21,6404.0
2022-02-28,3616.0
2022-03-07,404.0
2022-03-14,-1243.0
2022-03-21,-3011.0
2022-03-28,-4771.0
2022-04-04,-6663.0
2022-04-11,-8400.0
2022-04-18,-9073.0
2022-04-25,-9122.0
2022-05-02,-8801.0
2022-05-09,-7721.0
2022-05-16,-8043.0
2022-05-23,-8413.0
2022-05-30,-9771.0
2022-06-06,-10043.0
2022-06-13,-10971.0
2022-06-20,-12347.0
2022-06-27,-11829.0
2022-07-04,-10035.0
2022-07-11,-7016.0
2022-07-18,-4345.0
2022-07-25,-2886.0
2022-08-01,-3104.0
2022-08-08,-3165.0
2022-08-15,-3355.0
2022-08-22,-3497.0
2022-08-29,-3160.0
2022-09-05,-2990.0
2022-09-12,-2723.0
2022-09-19,-2034.0
2022-09-26,-867.0
2022-10-03,557.0
2022-10-10,1772.0
2022-10-17,1903.0
2022-10-24,1527.0
2022-10-31,767.0
2022-11-07,318.0
2022-11-14,22.0
2022-11-21,-781.0
2022-11-28,-1301.0
2022-12-05,-1703.0
2022-12-12,-806.0
2022-12-19,118.0
2022-12-26,385.0
2023-01-02,401.0
2023-01-09,311.0
2023-01-16,33.0
2023-01-23,-4.0
2023-01-30,-238.0
2023-02-06,-352.0
2023-02-13,-821.0
2023-02-20,-1771.0
2023-02-27,-2494.0
2023-03-06,-2483.0
2023-03-13,-1821.0
2023-03-20,-1279.0
2023-03-27,-1234.0
2023-04-03,-1530.0
2023-04-10,-1558.0
2023-04-17,-1906.0
2023-04-24,-2350.0
2023-05-01,-3209.0
2023-05-08,-3686.0
2023-05-15,-3536.0
2023-05-22,-3122.0
2023-05-29,-2392.0
2023-06-05,-1831.0
2023-06-12,-1514.0
2023-06-19,-1265.0
2023-06-26,-1379.0
2023-07-03,-1593.0
2023-07-10,-1554.0
2023-07-17,-1460.0
2023-07-24,-1429.0
2023-07-31,-1620.0
2023-08-07,-1529.0
2023-08-14,-1333.0
2023-08-21,-996.0
2023-08-28,-1030.0
2023-09-04,-1065.0
2023-09-11,-927.0
2023-09-18,-820.0
2023-09-25,-649.0
2023-10-02,-436.0
2023-10-09,-281.0
2023-10-16,-271.0
2023-10-23,-336.0
